name,website,region,town,holes,clubId,in_seed
Gullane Ladies Golf Club,https://www.gullanegolfclub.co.uk/gullane_ladies_golf_club,East Lothian,Gullane,18,2304,
Haddington Golf Club,http://haddingtongolf.co.uk/,East Lothian,Haddington,18,2305,
Haggs Castle Golf Club,https://www.haggscastlegolfclub.com/,Glasgow,Glasgow,18,2306,
Hamilton Golf Club,https://www.hamiltongolfclub.co.uk/,South Lanarkshire,Hamilton,18,2308,
Harburn Golf Club,https://harburngolfclub.co.uk/,West Lothian,West Calder,18,2309,
Harrison Golf Club,http://harrisongolfclub.org.uk/,Edinburgh,Edinburgh,18,2310,
Hawick Golf Club,http://www.hawickgolfclub.com/,Scottish Borders,Hawick,18,2311,
Hayston Golf Club,https://www.haystongolf.com/,East Dunbartonshire,Glasgow,18,2312,
Hazlehead Golf Club,https://www.hazleheadgolfclub.co.uk/,Aberdeen City,Aberdeen,18,2313,
Helensburgh Golf Club,https://www.helensburghgolfclub.co.uk/,Argyll & Bute,Helensburgh,18,2314,
Helmsdale Golf Club,http://www.helmsdale.org/golf.html,Highland,Sutherland,18,2315,
Hilton Park Golf Club,https://hiltonpark.net/,East Dunbartonshire,Glasgow,18,2316,
Hirsel Golf Club,https://www.hirselgc.co.uk/,Scottish Borders,Coldstream,18,2317,
Hollandbush Golf Club,http://www.hollandbushgolfclub.co.uk/,South Lanarkshire,Lanark,18,2318,
Hopeman Golf Club,https://www.hopemangolf.club/,Moray,Moray,18,2320,
Huntly Golf Club,https://www.huntlygolfclub.com/,Aberdeenshire,Huntly,18,2321,
Inchmarlo Golf Club,https://www.inchmarlogolf.co.uk/,Aberdeenshire,AB31 4BQ,18,2323,
Innellan Golf Club,https://www.innellangolfclub.co.uk/,Argyll & Bute,Dunoon,18,2325,
Innerleithen Golf Club,http://www.innerleithengolf.co.uk/,Scottish Borders,EH44 6NL,18,2326,
Insch Golf Club,https://www.inschgolfclub.co.uk/,Aberdeenshire,Insch,18,2327,
Inverallochy Golf Club,https://inverallochygolfclub.com/,Aberdeenshire,Fraserburgh,18,2328,
Invergordon Golf Club,https://invergordongolf.co.uk/,Highland,Invergordon,18,2330,
Inverness Golf Club,https://www.invernessgolfclub.co.uk/,Highland,Inverness,18,2331,
Inverurie Golf Club,https://www.inveruriegolfclub.co.uk/,Aberdeenshire,Inverurie,18,2332,
Irvine Ravenspark Golf Club,https://www.irgc.co.uk/,North Ayrshire,Irvine,18,2335,
Islay Golf Club,https://islaygolfclub.co.uk/,Argyll & Bute,Isle of Islay,18,2336,
Isle of Barra Golf Club,https://isleofbarra.com/barragolfclub.htm,Eilean Siar,Isle of Barra,18,2337,
Isle of Harris Golf Club,https://www.harrisgolf.com/,Eilean Siar,Isle of Harris,18,2338,
Isle of Seil Golf Club,https://isleofseil.cw.sct.dotgolf.co.uk/home,Argyll & Bute,Oban,18,2339,
Isle of Skye Golf Club,https://isleofskyegolfclub.co.uk/,Highland,Isle of Skye,18,2340,
Jedburgh Golf Club,https://www.jedburghgolfclub.co.uk/,Scottish Borders,Jedburgh,18,2341,
Junior Tour Scotland,https://www.juniortourscotland.com,Edinburgh,Prestonpans,18,2344,
Keith Golf Club,http://www.keithgolfclub.co.uk/,Moray,Keith,18,2345,
Kelso Golf Club,http://www.kelsogolfclub.co.uk/,Scottish Borders,Kelso,18,2346,
Kenmore Golf Club,https://www.taymouth.co.uk,Perth & Kinross,Kenmore,18,2348,
Kidsneuk Ladies Golf Club,https://kidsneukladies.cw.sct.dotgolf.co.uk/,North Ayrshire,North Ayshire,18,2350,
Kilbirnie Place Golf Club,https://www.kilbirnieplacegc.co.uk/,North Ayrshire,Kilbirnie,18,2351,
Kilbowie Golf Club,https://dgu.org.uk/clydeview-gc/,West Dunbartonshire,Clydebank,18,2352,
Killin Golf Club,https://www.killingolfclub.co.uk/,Stirling,Killin,9,2353,
Kilmacolm Golf Club,http://www.kilmacolmgolfclub.com,Inverclyde,Kilmacolm,18,2354,
Kilmarnock (Barassie) Golf Club,https://www.kbgc.co.uk/,South Ayrshire,Troon,18,2355,
Kilspindie Golf Club,https://www.kilspindiegolfclub.co.uk/,East Lothian,Longniddry,18,2356,
Kilsyth Lennox Golf Club,https://www.kilsythlennox.com/,North Lanarkshire,Glasgow,18,2357,
King James VI Golf Club,https://www.kingjamesvi.co.uk/,Perth & Kinross,Perth,18,2358,
Kingennie Golf Club,https://www.forbesofkingennie.co.uk/golf/kingennie-golf-course/,Angus,Dundee,9,2359,
Kinghorn Golf Club,https://www.kinghorngolfclub.com/,Fife,Burntisland,18,2360,
Kings Acre Golf Club,https://www.kings-acregolf.com/,Midlothian,Lasswade,18,2362,
Kings Golf Club,https://www.kingsgolfclubinverness.co.uk/,Highland,Inverness,18,2363,
Kingsbarns Golf Links Golf Club,https://www.kingsbarns.com,Edinburgh,,18,2011,
